County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,10,1,-
Alpine,-,-,-,-
Amador,-,1,-,-
Butte,2,13,5,34
Calaveras,-,-,-,-
Colusa,-,2,-,-
Contra Costa,1,44,17,10
Del Norte,-,-,-,-
El Dorado,1,9,-,-
Fresno,13,62,132,17
Glenn,-,6,-,3
Humboldt,-,-,-,-
Imperial,-,-,3,41
Inyo,-,-,-,-
Kern,15,28,137,96
Kings,3,9,105,-
Lake,-,2,2,-
Lassen,-,-,-,-
Los Angeles,14,78,85,35
Madera,-,11,3,7
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,1,9,11,14
Modoc,-,1,-,-
Mono,-,-,1,-
Monterey,-,4,-,-
Napa,-,-,-,3
Nevada,-,-,-,-
Orange,4,9,14,-
Placer,-,4,40,11
Plumas,-,-,-,-
Riverside,1,2,26,29
Sacramento,-,25,36,2
San Benito,-,-,-,-
San Bernardino,1,18,52,13
San Diego,4,36,5,4
San Francisco,-,1,-,-
San Joaquin,5,24,83,10
San Luis Obispo,-,1,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,-,14,14,-
Santa Cruz,-,1,-,-
Shasta,-,9,2,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,3,2,10
Sonoma,-,-,-,-
Stanislaus,12,28,94,25
Sutter,-,-,25,10
Tehama,-,-,-,2
Trinity,-,-,-,-
Tulare,4,25,131,28
Tuolumne,-,2,-,-
Ventura,-,3,-,-
Yolo,2,7,16,2
Yuba,-,-,1,-
