County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,12,1,-
Alpine,-,-,-,-
Amador,-,3,-,-
Butte,5,36,5,31
Calaveras,1,1,1,9
Colusa,1,3,-,1
Contra Costa,4,87,31,15
Del Norte,-,-,-,-
El Dorado,1,9,-,-
Fresno,1,39,53,22
Glenn,-,17,1,5
Humboldt,-,1,-,-
Imperial,-,-,7,23
Inyo,-,-,-,-
Kern,-,10,7,13
Kings,1,1,-,1
Lake,-,2,3,-
Lassen,-,-,1,-
Los Angeles,119,458,501,101
Madera,-,3,1,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,1,5,-,-
Modoc,-,1,-,-
Mono,-,2,-,-
Monterey,-,6,-,-
Napa,-,1,-,-
Nevada,-,5,-,-
Orange,60,618,341,3
Placer,5,3,27,11
Plumas,-,-,-,-
Riverside,54,39,118,102
Sacramento,13,129,277,7
San Benito,-,-,-,-
San Bernardino,18,169,166,57
San Diego,22,522,38,14
San Francisco,-,-,-,-
San Joaquin,11,69,207,18
San Luis Obispo,-,1,-,-
San Mateo,-,2,-,-
Santa Barbara,-,1,-,-
Santa Clara,1,11,1,-
Santa Cruz,-,3,-,-
Shasta,1,7,-,3
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,7,1,7
Sonoma,-,8,2,-
Stanislaus,17,45,75,38
Sutter,-,2,11,9
Tehama,1,6,-,-
Trinity,-,1,-,-
Tulare,2,76,64,20
Tuolumne,-,-,-,-
Ventura,-,24,-,4
Yolo,1,9,19,-
Yuba,-,-,1,1
