County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,13,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,21,42,33,57
Calaveras,-,-,-,-
Colusa,2,1,-,8
Contra Costa,3,67,13,7
Del Norte,-,-,-,-
El Dorado,1,-,-,-
Fresno,5,11,66,-
Glenn,7,8,16,9
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,16,2,180,12
Kings,-,11,78,-
Lake,-,10,61,6
Lassen,-,-,-,-
Los Angeles,89,305,399,130
Madera,2,7,16,2
Marin,2,7,-,1
Mariposa,-,-,-,-
Mendocino,-,2,-,-
Merced,-,39,8,21
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,1,2,-,-
Nevada,-,6,-,2
Orange,4,33,45,-
Placer,5,38,89,13
Plumas,-,-,-,-
Riverside,20,21,80,41
Sacramento,3,172,380,6
San Benito,-,-,-,-
San Bernardino,5,36,233,28
San Diego,-,6,-,-
San Francisco,1,-,-,-
San Joaquin,6,34,162,-
San Luis Obispo,-,1,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,2,53,25,2
Santa Cruz,-,1,1,-
Shasta,-,36,15,18
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,15,1,12
Sonoma,-,28,5,1
Stanislaus,15,13,158,8
Sutter,10,16,61,35
Tehama,-,3,-,8
Trinity,-,1,-,-
Tulare,4,6,95,5
Tuolumne,-,1,-,-
Ventura,2,8,-,-
Yolo,5,101,245,10
Yuba,4,11,14,11
